yield,N,P,K,Ca,Mg
9.597,2.42,0.32,1.24,0.65,0.26
9.1602,2.97,0.34,1.3,0.65,0.21
9.0314,2.82,0.24,1.2,0.68,0.26
8.7724,2.3,0.34,1.29,0.65,0.35
8.5736,2.68,0.36,1.7,0.93,0.39
8.4406,2.6,0.32,1.3,0.65,0.26
8.4308,2.71,0.34,1.3,0.65,0.26
8.4196,2.46,0.34,1.6,0.79,0.39
8.2194,2.69,0.32,1.3,0.61,0.35
8.2026,2.8,0.24,0.9,0.72,0.26
8.1795,2.59,0.32,1.2,0.72,0.26
8.0864,2.61,0.2,1.08,0.57,0.17
8.0416,2.51,0.32,1.5,0.79,0.41
8.029,2.65,0.32,1.46,0.72,0.39
7.9268,2.76,0.28,1.26,0.79,0.43
7.8526,2.75,0.34,1.1,0.79,0.39
7.847,2.45,0.32,1.6,0.86,0.43
7.8162,2.68,0.36,1.5,0.57,0.32
7.7854,2.93,0.32,1.3,0.65,0.26
7.7504,2.82,0.22,1.18,0.65,0.35
7.665,2.67,0.34,1.26,0.72,0.35
7.5614,2.7,0.36,1.75,0.86,0.39
7.5586,2.38,0.36,1.2,0.65,0.26
7.546,2.67,0.32,1.3,0.65,0.35
7.5292,2.37,0.34,1.2,0.72,0.26
7.504,2.76,0.24,1,0.72,0.21
7.4984,2.8,0.28,1.1,0.65,0.35
7.4186,2.49,0.34,1.6,0.86,0.39
7.4158,2.47,0.34,1.7,0.79,0.48
7.4102,2.45,0.34,1.6,0.79,0.44
7.4088,2.63,0.32,1.4,0.72,0.2
7.3948,2.72,0.36,1.4,0.65,0.3
7.3934,2.8,0.22,1.11,0.72,0.26
7.3486,2.82,0.28,1.3,0.65,0.26
7.3444,2.46,0.32,0.72,0.65,0.26
7.2786,2.78,0.24,1.4,0.65,0.17
7.1974,2.36,0.37,1.2,0.61,0.35
7.1218,2.86,0.28,1.3,0.57,0.3
7.1036,2.81,0.28,1.37,0.79,0.39
7.049,2.62,0.36,1.3,0.65,0.35
6.9706,2.42,0.36,1.01,0.72,0.3
6.9678,2.57,0.36,1.5,0.65,0.32
6.937,2.4,0.34,1.27,0.72,0.3
6.9146,2.55,0.36,1.08,0.65,0.26
6.7802,2.56,0.2,0.88,0.72,0.26
6.69774,2.71,0.32,1.43,0.65,0.17
6.6976,2.48,0.32,1.6,0.79,0.48
6.6626,2.71,0.32,1.3,0.65,0.26
6.58,2.75,0.36,1.4,0.65,0.35
6.5534,2.53,0.2,1.09,0.72,0.21
6.5156,2.82,0.24,1.2,0.72,0.3
6.4974,2.51,0.32,0.98,0.65,0.3
6.461,2.5,0.2,0.9,0.65,0.26
6.461,2.76,0.28,1.2,0.65,0.3
6.454,2.7,0.36,1.4,0.52,0.3
6.4302,2.68,0.28,1.3,0.65,0.35
6.426,2.57,0.34,1.3,0.65,0.26
6.1824,2.49,0.32,1.5,0.72,0.35
6.1614,2.68,0.32,1.2,0.57,0.35
6.0662,2.73,0.3,1.2,0.57,0.3
6.0634,2.48,0.32,1.01,0.68,0.26
6.0256,2.56,0.32,1.2,0.72,0.3
5.9066,2.5,0.36,1.6,0.86,0.43
5.8492,2.91,0.28,1.4,0.57,0.32
5.7554,2.72,0.36,1.4,0.79,0.35
5.7162,2.77,0.28,1.4,0.46,0.26
5.6126,2.69,0.32,1.49,0.83,0.52
5.5048,2.69,0.34,1.5,0.72,0.37
5.3452,2.38,0.34,1.3,0.72,0.17
5.2822,2.76,0.24,1,0.79,0.21
5.2654,2.75,0.3,1.3,0.57,0.26
5.117,2.76,0.28,1.3,0.57,0.28
