yield,N,P,K,Ca,Mg
52,1.115,0.35605683,6.086739781,4.272681954,1.425224327
45.4,1.057,0.344965105,5.522931206,4.540378863,1.600199402
42.2,1.05489022,0.328514457,4.81555334,4.537387836,1.721335992
39.4,0.883233533,0.273281873,3.927788845,3.699203187,1.226593625
39,0.882,0.273964054,4.439340989,4.563654518,1.590614079
38.6,0.858,0.345654346,2.061938062,4.820679321,1.684315684
38.2,0.828927681,0.284663342,4.596508728,4.674314214,1.376558603
37.8,1.172413793,0.346,5.535,3.84,1.242
37.6,1.02646031,0.257621189,3.902548726,5.065967016,1.866566717
37,0.966033966,0.317073171,3.901941264,3.721254355,1.158785465
36.5,0.909725686,0.312687313,4.838661339,4.729270729,1.537462537
36,0.909272183,0.334498253,4.010983525,3.96005991,1.202695956
35,0.772908367,0.278898854,4.130044843,3.597907324,1.215246637
34.2,0.854581673,0.339820359,4.109281437,4.564371257,1.435628743
31.7,0.94005994,0.307192807,4.601898102,4.5,1.607892108
31.4,1.057,0.322869955,5.00896861,4.183856502,1.585949178
31.3,0.964588529,0.361901198,5.799401198,4.758982036,1.290419162
31.3,0.883233533,0.346,4.086,3.6315,1.347
30.6,0.908275174,0.290584416,6.082417582,5.913086913,1.951048951
29.7,0.936721475,0.36757364,5.532700949,3.811782327,1.268597104
28.5,0.83016983,0.295783433,3.968562874,2.820359281,1.079341317
28.2,0.856714928,0.317705736,3.782543641,3.757107232,1.162593516
27.8,0.855433699,0.3405,3.72,2.7585,0.984
27.2,0.825349301,0.34015984,4.975024975,4.69030969,1.525474525
27,0.83016983,0.340329835,4.338830585,3.349325337,1.28185907
25.8,0.94,0.28508991,3.848151848,4.075924076,1.233266733
25.6,0.801797304,0.344965105,3.145064806,3.11665005,1.087238285
23.1,0.882,0.307039441,4.978532202,4.219171243,1.541188218
22.7,1.073316708,0.372879242,4.699101796,5.082335329,1.25748503
22.3,0.964588529,0.345309381,4.425149701,3.170658683,0.998502994
22,0.774064838,0.334331337,3.178143713,2.973053892,1.097305389
20.1,0.93765586,0.29563591,4.111720698,3.873815461,1.352618454
19.4,0.612693653,0.262201195,4.196713147,3.809760956,1.192231076
16.9,1.028,0.372507478,4.565802592,4.4222333,1.459621137
15.5,1.115,0.328678304,4.562094763,4.141645885,1.551620948
12.9,0.719840479,0.339143426,3.935258964,3.868027888,1.284860558
